[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-20 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,2000
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-19 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,2244
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-18 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,2518
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-17 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,2825
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-16 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,3170
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-15 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,3557
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-14 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,3991
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-13 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,4477
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-12 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,5024
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-11 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,5637
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-10 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,6325
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-9 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,7096
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-8 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,7962
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-7 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=0,8934
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-6 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=1,0024
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-5 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=1,1247
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-4 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=1,2619
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-3 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=1,4159
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-2 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=1,5887
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=-1 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=1,7825
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=0 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=2,0000
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=1 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=2,2440
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=2 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=2,5179
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=3 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=2,8251
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=4 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=3,1698
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=5 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=3,5566
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=6 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=3,9905
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=7 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=4,4774
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=8 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=5,0238
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=9 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=5,6368
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=10 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=6,3246
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=11 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=7,0963
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=12 : Skorost=993,00 : Koef_Osh=0,0000 : Shum=7,9621
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=13 : Skorost=993,00 : Koef_Osh=0,0020 : Shum=8,9337
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=14 : Skorost=993,00 : Koef_Osh=0,0050 : Shum=10,0237
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=15 : Skorost=993,00 : Koef_Osh=0,0140 : Shum=11,2468
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=16 : Skorost=993,00 : Koef_Osh=0,0360 : Shum=12,6191
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=17 : Skorost=993,00 : Koef_Osh=0,0690 : Shum=14,1589
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=18 : Skorost=993,00 : Koef_Osh=0,1410 : Shum=15,8866
[models=model1, rd=1, dopb=1, ssh=0, rep=1, step=1, param[]=cycle_noise2] : dB=19 : Skorost=993,00 : Koef_Osh=0,2510 : Shum=17,8250
